id,active,duplicate_of,category,audience,product_family,image_path,tags,roles,quality_flags,source_pdf
"REF-0001","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0001.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","008e59f318f68d360bcef2e3f9debe91.pdf"
"REF-0002","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0002.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","022303fda20c4cf02b37d4255a158ffb.pdf"
"REF-0003","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0003.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo|bedding_scene|soft_textiles","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","022a176e047a7658fbb076b29ab136f8.pdf"
"REF-0004","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0004.jpg","fashion|pinterest_ready|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","029e456f759a41a75195e7fdf224c693.pdf"
"REF-0005","true","","other_product_lifestyle_scenes","","other_product","reference_library/other_product_lifestyle_scenes/REF-0005.jpg","lifestyle_product|cozy_scene|composition|desk_or_workspace","scene|lighting|composition|prop_styling","","02cda33ec4fa6c059d3a4dc3b9c1dbc4.pdf"
"REF-0008","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0008.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","0420c837ad935670476463c6004c9cf4.pdf"
"REF-0009","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0009.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo","product_shape|surface_decoration|scene|lighting|composition|prop_styling","visible_interface_or_marketing_overlay_use_visual_elements_only|do_not_copy_trademarks_logos_or_copyrighted_characters","0457fa9082a3ff8f0dbd130b58b61105.pdf"
"REF-0010","true","","interior_bedroom_workspace_scenes","","scene_only","reference_library/interior_bedroom_workspace_scenes/REF-0010.jpg","cozy_bedroom|workspace|warm_light|soft_neutral|pinterest_interior|bedding_scene|soft_textiles|desk_or_workspace","scene|lighting|palette|prop_styling|background_environment","","04f2881d6e925cfd6e30587582d30581.pdf"
"REF-0011","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0011.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","080d7b83b8f6071ad45e7b65b60fd805.pdf"
"REF-0012","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0012.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","08c20493906a023f80ba49daa9f230bf.pdf"
"REF-0013","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0013.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","0a449257c19ff00ad85bcdd6ef2314a7.pdf"
"REF-0014","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0014.jpg","fashion|pinterest_ready|editorial|styled_outfit|outdoor|natural_light","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","0bb2cdef40d0418d9c5f826be22dc3f9.pdf"
"REF-0015","true","","other_product_lifestyle_scenes","","other_product","reference_library/other_product_lifestyle_scenes/REF-0015.jpg","lifestyle_product|cozy_scene|composition","scene|lighting|composition|prop_styling","","0c80d534b0a02241b69294e978b569e7.pdf"
"REF-0016","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0016.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","0cc08c928aef7633985c5ebdc5daaf77.pdf"
"REF-0017","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0017.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo|handheld","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","0e7ce0b709834cf7a43f57be9ea92b11.pdf"
"REF-0018","true","","beauty_hair_makeup_portraits","adult","beauty_reference","reference_library/beauty_hair_makeup_portraits/REF-0018.jpg","beauty|hair|makeup|portrait_lighting|colored_studio|editorial_lighting","hair_style|makeup_direction|portrait_lighting|closeup_framing","","106d32736111ef6bf61d16b9fea5ace5.pdf"
"REF-0019","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0019.jpg","childrens_apparel|age_appropriate|commercial_catalog|studio_or_catalog","pose|framing|styling|scene|lighting|garment_silhouette","","116c45f9aa2b40b874cb43cb8b2334da.pdf"
